繁體	简体	吳拼	備注
陷	陷	ghae6	
餡	馅	ghae6	
呆	呆	te1	发〜
戴	戴	te5	文
𣻢	𣻢	te5	文
胎	胎	the1	
臺	台	the1	天〜
苔	苔	the1	舌〜
態	态	the5	文
太	太	the5	文
泰	泰	the5	文
奶	奶	nhe5	
災	灾	tse1	
栽	栽	tse1	
宰	宰	tse1	
載	载	tse1	满〜
者	者	tse1	
宰	宰	tse3	
再	再	tse5	
載	载	tse5	
猜	猜	tshe1	
且	且	tshe1	
彩	彩	tshe3	
踩	踩	tshe3	
菜	菜	tshe5	
梯	梯	tshe5	
腮	腮	se1	
鰓	鳃	se1	
衰	衰	se1	
賽	赛	se5	
帥	帅	se5	
該	该	ke1	
改	改	ke3	
減	减	ke3	
咸	咸	ke3	
概	概	ke5	
溉	溉	ke5	
蓋	盖	ke5	
丐	丐	ke5	
凱	凯	khe3	
慨	慨	khe5	
海	海	he3	
駭	骇	he3	惊〜
莧	苋	he5	〜菜
哀	哀	e1	
埃	埃	e1	
愛	爱	e5	
臺	台	de2	
苔	苔	de2	
薹	苔	de2	
擡	抬	de2	
待	待	de2	
怠	怠	de2	
殆	殆	de2	
代	代	de6	
袋	袋	de6	
貸	贷	de6	
岱	岱	de6	〜山
耐	耐	ne6	
來	来	le2	
才	才	dze2	
材	材	dze2	
財	财	dze2	
在	在	dze2	
豺	豺	dze2	
裁	裁	ze2	
㧾	㧾	ge2	立
隑	隑	ge6	〜牢
呆	呆	nge2	
礙	碍	nge6	
艾	艾	nge6	
孩	孩	ghe2	
亥	亥	ghe2	
害	害	ghe6	
搬	搬	poe1	
半	半	poe5	
泮	泮	phoe1	
判	判	phoe3	
端	端	toe1	
短	短	toe3	
斷	断	toe5	
鍛	锻	toe5	
☐	☐	thoe5	一〜路
鷃	鷃	tsoe1	
攢	攒	tsoe1	
專	专	tsoe1	
磚	砖	tsoe1	
轉	转	tsoe3	一〜眼
戰	战	tsoe5	
顫	颤	tsoe5	
鷃	鷃	tsoe5	
轉	转	tsoe5	〜圈
汆	汆	tshoe1	〜一〜
纂	纂	tshoe1	
篡	篡	tshoe1	
川	川	tshoe1	
穿	穿	tshoe1	
喘	喘	tshoe1	
鼠	鼠	tshoe5	
串	串	tshoe5	
酸	酸	soe1	
閂	闩	soe1	
拴	拴	soe1	
宣	宣	soe1	
陝	陕	soe3	〜西
閃	闪	soe3	
梭	梭	soe3	
選	选	soe3	
算	算	soe5	
蒜	蒜	soe5	
宣	宣	soe5	
選	选	soe5	
喧	喧	soe5	
哥	哥	koe3	八〜
盤	盘	boe2	
般	般	boe2	
伴	伴	boe2	
拌	拌	boe2	
絆	绊	boe6	
叛	叛	boe6	
瞞	瞒	moe2	
饅	馒	moe2	〜头
滿	满	moe2	
漫	漫	moe6	
團	团	doe2	
糰	𰪶	doe2	
斷	断	doe2	〜绝
斷	断	doe6	决〜
段	段	doe6	
緞	缎	doe6	
椴	椴	doe6	
囡	囡	noe2	女儿
鸞	鸾	loe2	
卵	卵	loe2	
螺	螺	loe6	海〜
亂	乱	loe6	
蟾	蟾	dzoe2	〜酥
纏	缠	dzoe2	
撰	撰	dzoe2	
全	全	dzoe2	
泉	泉	dzoe2	
傳	传	dzoe2	〜达
椽	椽	dzoe2	
篆	篆	dzoe2	
傲	傲	dzoe6	
傳	传	dzoe6	～记
蟾	蟾	zoe2	
染	染	zoe2	传〜
冉	冉	zoe2	
蟬	蝉	zoe2	
禪	禅	zoe2	
善	善	zoe2	
然	然	zoe2	
燃	燃	zoe2	
旋	旋	zoe2	
船	船	zoe2	
膳	膳	zoe6	
單	单	zoe6	姓
羨	羡	zoe6	
鵝	鹅	ngoe2	
杯	杯	pei1	
碑	碑	pei1	
卑	卑	pei1	
悲	悲	pei1	
貝	贝	pei5	
輩	辈	pei5	
背	背	pei5	
彼	彼	pei5	
俾	俾	pei5	
胚	胚	phei1	
坯	坯	phei1	
沛	沛	phei5	
配	配	phei5	
轡	辔	phei5	
妹	妹	mhei5	文
堆	堆	tei1	
𠡒	𠡒	tei3	拉
對	对	tei5	
碓	碓	tei5	
推	推	thei1	
貪	贪	thei1	
腿	腿	thei3	
退	退	thei5	
蛻	蜕	thei5	蝉〜
探	探	thei5	
追	追	tsei1	
錐	锥	tsei1	
簪	簪	tsei1	
最	最	tsei5	
贅	赘	tsei5	
綴	缀	tsei5	
醉	醉	tsei5	
催	催	tshei1	
崔	崔	tshei1	
脆	脆	tshei1	
吹	吹	tshei1	
炊	炊	tshei1	
揣	揣	tshei3	
脆	脆	tshei5	
翠	翠	tshei5	
雖	虽	sei1	
綏	绥	sei1	
水	水	sei3	文
碎	碎	sei5	
歲	岁	sei5	文
稅	税	sei5	
蚶	蚶	hei1	〜子
憨	憨	hei1	
酣	酣	hei1	
鼾	鼾	hei1	
撼	撼	hei3	
罕	罕	hei3	
憾	憾	hei5	
漢	汉	hei5	
庵	庵	ei1	
安	安	ei1	
鞍	鞍	ei1	
揞	揞	ei3	
暗	暗	ei5	
按	按	ei5	
案	案	ei5	
培	培	bei2	
陪	陪	bei2	
賠	赔	bei2	
裴	裴	bei2	
倍	倍	bei2	
佩	佩	bei6	
背	背	bei6	〜诵
焙	焙	bei6	
備	备	bei6	
謎	谜	mei2	
每	每	mei2	
梅	梅	mei2	
枚	枚	mei2	
媒	媒	mei2	
煤	煤	mei2	
眉	眉	mei2	文
楣	楣	mei2	
美	美	mei2	
黴	霉	mei2	
昧	昧	mei6	
妹	妹	mei6	
媚	媚	mei6	
寐	寐	mei6	
否	否	vei2	
潭	潭	dei2	
井	井	dei2	酒～
隊	队	dei6	
兌	兑	dei6	
男	男	nei2	
南	南	nei2	
內	内	nei6	
雷	雷	lei2	
儡	儡	lei2	
縷	缕	lei6	
屢	屡	lei6	
累	累	lei6	
