繁體	简体	吳拼	備註
攻	攻	kon5	
宮	宫	kon5	
宫	宫	kon5	
龔	龚	kon5	
供	供	kon5	
𠞖	𠞖	kon5	𠞖洞
羾	羾	kon5	
龏	龏	kon5	
空	空	khon1	空氣
箜	箜	khon1	
倥	倥	khon1	
控	控	khon1	
崆	崆	khon1	
涳	涳	khon1	
悾	悾	khon1	
埪	埪	khon1	
硿	硿	khon1	
鵼	鵼	khon1	
椌	椌	khon1	
銎	銎	khon1	
恐	恐	khon3	
孔	孔	khon3	
空	空	khon5	
鞚	鞚	khon5	
蛬	蛬	gon2	
輁	輁	gon2	
共	共	gon6	
跫	跫	gon6	
烘	烘	hon1	
薨	薨	hon1	
訇	訇	hon1	
揈	揈	hon1	
輷	𫐒	hon1	
渹	渹	hon1	
鍧	鍧	hon1	
舡	舡	hon1	
焢	焢	hon1	
蕻	蕻	hon1	
吽	吽	hon1	
谾	谾	hon1	
銎	銎	hon1	
哄	哄	hon3	
嗊	唝	hon3	
𢦅	𢦅	hon3	
轟	轰	hon5	
㶹	㶹	hon5	
佝	佝	hon5	佝背
紅	红	ghon2	
洪	洪	ghon2	
虹	虹	ghon2	文讀
魟	𫚉	ghon2	
宏	宏	ghon2	
紘	纮	ghon2	
㢬	㢬	ghon2	
吰	吰	ghon2	
𧈽	𧈽	ghon2	
閎	闳	ghon2	
鋐	鋐	ghon2	
弘	弘	ghon2	
泓	泓	ghon2	
苰	苰	ghon2	
鴻	鸿	ghon2	
黌	黉	ghon2	
訌	讧	ghon2	
叿	叿	ghon2	
嵤	嵤	ghon2	
浤	浤	ghon2	
竑	竑	ghon2	
紭	紭	ghon2	
翃	翃	ghon2	
耾	耾	ghon2	
鈜	鈜	ghon2	
仜	仜	ghon2	
垬	垬	ghon2	
渱	渱	ghon2	
葒	荭	ghon2	
葓	葓	ghon2	
谼	谼	ghon2	
鉷	𫟹	ghon2	
鞃	鞃	ghon2	
鑊	镬	ghon2	兒化殘留，表小稱
宖	宖	ghon2	
彋	彋	ghon2	
洚	洚	ghon2	
哄	哄	ghon6	
鬨	哄	ghon6	
閧	哄	ghon6	
翁	翁	on1	
蕹	蕹	on1	蕹菜
䐥	䐥	on1	䐥氣
鎓	鎓	on1	化學用字
滃	滃	on1	
螉	螉	on1	
𤌏	𤌏	on1	
䩺	䩺	on1	
鶲	鹟	on1	
齆	齆	on1	文讀
紅	红	on1	僅限於「鼻頭紅」
屋	屋	on1	又音 僅限於「五架屋」等
蓊	蓊	on3	芋艿蓊
瞈	瞈	on3	
勜	勜	on3	
塕	塕	on3	
暡	暡	on3	
瓮	瓮	on5	
罋	瓮	on5	
甕	瓮	on5	
嗡	嗡	on5	
𨞑	𨞑	on5	
傴	伛	on5	傴背
冂	冂	cion1	
坰	坰	cion1	
駉	駉	cion1	
扃	扃	cion1	
駫	𫘡	cion1	
冋	冋	cion1	
絅	䌹	cion1	
炅	炅	cion3	
囧	囧	cion3	
冏	冏	cion3	
迥	迥	cion3	
逈	迥	cion3	
炯	炯	cion3	
烱	炯	cion3	
泂	泂	cion3	
褧	褧	cion3	
煛	煛	cion3	
熲	颎	cion3	
暻	暻	cion3	
煚	煚	cion3	
臩	臩	cion3	
窮	穷	jion2	
藭	䓖	jion2	
穹	穹	jion2	
芎	芎	jion2	
瓊	琼	jion2	
邛	邛	jion2	
筇	筇	jion2	
桏	桏	jion2	
蛩	蛩	jion2	
煢	茕	jion2	
睘	睘	jion2	
惸	惸	jion2	
憌	憌	jion2	
焭	焭	jion2	
璚	璚	jion2	
藑	藑	jion2	
赹	赹	jion2	
舼	舼	jion2	
匑	匑	jion2	
焪	焪	jion2	
苘	苘	jion6	
烓	烓	jion6	
絅	䌹	jion6	
顈	顈	jion6	
焪	焪	jion6	
戎	戎	gnion2	
絨	绒	gnion2	
羢	绒	gnion2	
毧	绒	gnion2	
狨	狨	gnion2	
濃	浓	gnion2	
穠	秾	gnion2	
醲	醲	gnion2	
𧲤	𧲤	gnion2	
顒	颙	gnion2	
𡢿	𭑸	gnion2	
檂	檂	gnion2	
鰅	鰅	gnion2	
搑	搑	gnion6	人多互相推擠
喗	喗	gnion6	
夽	夽	gnion6	
齳	齳	gnion6	
肉	肉	knion1	肉肉 兒童用語
兄	兄	shion1	
兇	凶	shion1	
凶	凶	shion1	
匈	匈	shion1	
汹	汹	shion1	
洶	汹	shion1	
胸	胸	shion1	
胷	胸	shion1	
酗	酗	shion1	
恟	恟	shion1	
訩	讻	shion1	
詾	詾	shion3	
詗	诇	shion3	
嗅	嗅	shion5	
敻	敻	shion5	
夐	夐	shion5	
矎	矎	shion5	
詗	诇	shion5	
醟	蒏	shion5	
榮	荣	yon2	
栄	荣	yon2	
嶸	嵘	yon2	
蠑	蝾	yon2	
融	融	yon2	
螎	融	yon2	
瀜	瀜	yon2	
容	容	yon2	
蓉	蓉	yon2	
溶	溶	yon2	
鎔	镕	yon2	
熔	熔	yon2	
榕	榕	yon2	
搈	搈	yon2	
𪃾	𪃾	yon2	
瑢	瑢	yon2	
傛	傛	yon2	
嵱	嵱	yon2	
褣	褣	yon2	
雄	雄	yon2	
熊	熊	yon2	
庸	庸	yon2	庸俗
鄘	墉	yon2	
墉	墉	yon2	
慵	慵	yon2	
鱅	鳙	yon2	
槦	槦	yon2	
滽	滽	yon2	
鏞	镛	yon2	
肜	肜	yon2	
揘	揘	yon2	
螢	萤	yon2	又音 僅限於「火螢頭」
蛍	萤	yon2	又音 僅限於「火螢頭」
銿	銿	yon2	
禜	禜	yon2	
佣	佣	yon6	
傭	佣	yon6	
用	用	yon6	
禜	禜	yon6	
醟	蒏	yon6	
壅	壅	ion1	
饔	饔	ion1	
擁	拥	ion1	
臃	臃	ion1	
邕	邕	ion1	
癰	痈	ion1	
郺	郺	ion1	
䗸	䗸	ion1	
𩌋	𩌋	ion1	
嗈	嗈	ion1	
噰	噰	ion1	
廱	廱	ion1	
澭	澭	ion1	
灉	灉	ion1	
永	永	ion3	
泳	泳	ion3	
詠	咏	ion3	
咏	咏	ion3	
甬	甬	ion3	
涌	涌	ion3	
湧	涌	ion3	
勇	勇	ion3	
踊	踊	ion3	
踴	踊	ion3	
蛹	蛹	ion3	
俑	俑	ion3	
恿	恿	ion3	
惥	恿	ion3	
慂	恿	ion3	
𧗴	𧗴	ion3	
埇	埇	ion3	
悀	悀	ion3	
塎	塎	ion3	
𦨤	𦨤	ion3	
栐	栐	ion3	
雍	雍	ion5	
雝	雍	ion5	
灉	灉	ion5	
八	八	paq7	
丷	八	paq7	
捌	捌	paq7	
䤢	䤢	paq7	
百	百	paq7	
佰	佰	paq7	數字「百」的大寫
柏	柏	paq7	
栢	柏	paq7	
伯	伯	paq7	
𦯉	𦯉	paq7	
掰	掰	paq7	
湐	湐	paq7	
哵	哵	paq7	
玐	玐	paq7	
釟	𫓥	paq7	
敀	敀	paq7	
糪	糪	paq7	
不	不	paq7	
鈈	钚	paq7	化學元素
撥	拨	paq7	
癶	癶	paq7	
鱍	鱍	paq7	
蹳	𫏆	paq7	
鮁	鲅	paq7	
醱	酦	paq7	醱醅
襏	袯	paq7	
驋	𩧯	paq7	
缽	钵	paq7	
鉢	钵	paq7	
盋	钵	paq7	
迫	迫	paq7	
廹	迫	paq7	
檗	檗	paq7	
爸	爸	paq7	阿爸
襞	襞	paq7	用漿糊粘合後曬乾的多層硬布，舊時用來做鞋幫及鞋底的襯層
癟	瘪	paq7	又音 僅限於「乾薑癟棗」
㿜	瘪	paq7	又音 僅限於「乾薑癟棗」
白	白	paq7	又音 僅限於「空頭白腦」
拍	拍	phaq7	
啪	啪	phaq7	
帕	帕	phaq7	
魄	魄	phaq7	
珀	珀	phaq7	
泊	泊	phaq7	湖泊
舶	舶	phaq7	
迫	迫	phaq7	
蘗	蘗	phaq7	
𤖼	𤖼	phaq7	𤖼開
敀	敀	phaq7	
洦	洦	phaq7	
皛	皛	phaq7	
糪	糪	phaq7	
汃	汃	phaq7	
擘	擘	phaq7	
潑	泼	phaq7	
鏺	䥽	phaq7	
哱	哱	phaq7	
昢	昢	phaq7	
趴	趴	phaq7	
白	白	baq8	
鮊	鲌	baq8	文讀
拔	拔	baq8	
抜	拔	baq8	
鈸	钹	baq8	
坺	坺	baq8	
跋	跋	baq8	
祓	祓	baq8	祓秋。音特殊，或爲寧波俗音，The Ningpo Syllabary 亦記作 bah
魃	魃	baq8	
茇	茇	baq8	
胈	胈	baq8	
炦	炦	baq8	熱炦炦
妭	妭	baq8	
犮	犮	baq8	
癹	癹	baq8	
馛	馛	baq8	
鼥	鼥	baq8	
薄	薄	baq8	又音
欂	欂	baq8	
繴	繴	baq8	
菝	菝	baq8	
鼻	鼻	baq8	白讀
帛	帛	baq8	
孛	孛	baq8	
勃	勃	baq8	
餑	饽	baq8	
浡	浡	baq8	吹浡
脖	脖	baq8	
鵓	鹁	baq8	
渤	渤	baq8	
䪬	䪬	baq8	
荸	荸	baq8	
馞	馞	baq8	
葧	葧	baq8	
挬	挬	baq8	
桲	桲	baq8	
郣	郣	baq8	
佛	佛	baq8	僅限於「大佛」
百	百	baq8	僅限於「害連百場」
𦤣	𦤣	baq8	又音，餲𦤣
軷	𫐈	baq8	
颰	𩙥	baq8	
麥	麦	maq8	
䥑	鿏	maq8	化學元素
嘜	唛	maq8	
脈	脉	maq8	
脉	脉	maq8	
衇	脉	maq8	
霢	霡	maq8	
眽	眽	maq8	
𢫦	𢫦	maq8	用棍棒打
貊	貊	maq8	
貘	貊	maq8	
銆	銆	maq8	
蛨	蛨	maq8	
佰	佰	maq8	
帞	帞	maq8	
驀	蓦	maq8	
襪	袜	maq8	
韈	袜	maq8	
韤	袜	maq8	
袜	袜	maq8	
帓	帓	maq8	
睰	睰	maq8	
礣	礣	maq8	
妺	妺	maq8	
昩	昩	maq8	
覛	𫌪	maq8	
齂	齂	maq8	
陌	陌	maq8	
沒	没	maq8	
没	没	maq8	
歿	殁	maq8	
殁	殁	maq8	
莈	莈	maq8	
默	默	maq8	
黙	默	maq8	
末	末	maq8	
抹	抹	maq8	
沫	沫	maq8	
靺	靺	maq8	
茉	茉	maq8	
𠇱	𠇱	maq8	𠇱㒓
皌	皌	maq8	
𥬎	𥬎	maq8	
𥿉	𥿉	maq8	
秣	秣	maq8	
枚	枚	maq8	又音 量詞
瀎	瀎	maq8	
眜	眜	maq8	
粖	粖	maq8	
韎	韎	maq8	
沒	没	mhaq7	
發	发	faq7	
発	发	faq7	
髮	发	faq7	
髪	发	faq7	
醱	酦	faq7	醱酵
法	法	faq7	
灋	法	faq7	
𠵽	𠵽	faq7	
砝	砝	faq7	
珐	珐	faq7	
琺	珐	faq7	
鍅	钫	faq7	化學元素，又稱「鈁」
冹	冹	faq7	
颰	𩙥	faq7	
弗	弗	faq7	不。俗亦作「勿」
彿	佛	faq7	彷彿
佛	佛	faq7	彷彿
髴	佛	faq7	彷彿
拂	拂	faq7	拂曉
氟	氟	faq7	化學元素
咈	咈	faq7	
艴	艴	faq7	
怫	怫	faq7	
茀	茀	faq7	
紼	绋	faq7	
𩎛	𩎛	faq7	
炥	炥	faq7	
𢂀	𢂀	faq7	
袚	袚	faq7	
黻	黻	faq7	
蛂	蛂	faq7	
帗	帗	faq7	
芾	芾	faq7	
綍	綍	faq7	
乀	乀	faq7	
巿	巿	faq7	
柫	柫	faq7	
甶	甶	faq7	
笰	笰	faq7	
紱	绂	faq7	
翇	翇	faq7	
勿	勿	faq7	又音，不。本字爲「弗」或「不」
刜	刜	faq7	
韍	韨	faq7	
乏	乏	vaq8	
罰	罚	vaq8	
罸	罚	vaq8	
伐	伐	vaq8	
𠲎	𠲎	vaq8	
筏	筏	vaq8	
栰	筏	vaq8	
閥	阀	vaq8	
𤇰	𤇰	vaq8	
茷	茷	vaq8	
垡	垡	vaq8	
瞂	瞂	vaq8	
藅	藅	vaq8	
姂	姂	vaq8	
橃	橃	vaq8	
勿	勿	vaq8	不。本字爲「弗」或「不」
物	物	vaq8	
伆	伆	vaq8	
弗	弗	vaq8	不。俗亦作「勿」
佛	佛	vaq8	
仏	佛	vaq8	
鉘	鉘	vaq8	
坲	坲	vaq8	
岉	岉	vaq8	
芴	芴	vaq8	
刜	刜	vaq8	
昒	昒	vaq8	
沕	沕	vaq8	
妲	妲	taq7	
靼	靼	taq7	
怛	怛	taq7	
呾	呾	taq7	
炟	炟	taq7	
耷	耷	taq7	
𡍲	𡍲	taq7	地名用字
𢝉	𢝉	taq7	𢝉𢝉動
𢱕	𢱕	taq7	𢱕𢱕動
笚	笚	taq7	
咄	咄	taq7	
啄	啄	taq7	又音 禽類用嘴叩擊、夾食
矺	矺	taq7	
答	答	taq7	
荅	荅	taq7	
搭	搭	taq7	
溚	溚	taq7	溚溚渧
嗒	嗒	taq7	品味兒
㿯	㿯	taq7	寬㿯㿯
㾑	㾑	taq7	壯㾑㾑
瘩	瘩	taq7	
褡	褡	taq7	
鎝	𨱏	taq7	化學元素，又稱「鍀」
德	德	taq7	
徳	德	taq7	
悳	德	taq7	
惪	德	taq7	
得	得	taq7	
𢔶	𢔶	taq7	古同「得」
鍀	锝	taq7	化學元素
嘚	嘚	taq7	
掇	掇	taq7	兩手端東西（一般不過胸）
鵽	鵽	taq7	
剟	剟	taq7	
裰	裰	taq7	
鎉	鎉	taq7	
褟	褟	taq7	
淂	淂	taq7	
撘	撘	taq7	
畣	畣	taq7	
狚	狚	taq7	
敠	敠	taq7	
祋	祋	taq7	
腏	腏	taq7	
柮	柮	taq7	
塔	塔	thaq7	
墖	塔	thaq7	
獺	獭	thaq7	水獺
塌	塌	thaq7	
榻	榻	thaq7	
鰈	鲽	thaq7	箬鰈魚
鰨	鳎	thaq7	鰙鰨
搨	搨	thaq7	
溻	溻	thaq7	
傝	傝	thaq7	
遢	遢	thaq7	
蹋	蹋	thaq7	
毾	毾	thaq7	
𩥑	𩨌	thaq7	
䌈	𦈖	thaq7	
𡍲	𡍲	thaq7	量詞
撻	挞	thaq7	
闥	闼	thaq7	
沓	沓	thaq7	
䵬	䵬	thaq7	黑䵬䵬
㒓	𠉂	thaq7	𠇱㒓
狧	狧	thaq7	
鞳	鞳	thaq7	
羍	羍	thaq7	
嚃	嚃	thaq7	
濌	濌	thaq7	
錔	錔	thaq7	
鞜	鞜	thaq7	
脫	脱	thaq7	
禿	秃	thaq7	
秃	秃	thaq7	
鵚	𪉍	thaq7	
忒	忒	thaq7	
鋱	铽	thaq7	化學元素
忑	忑	thaq7	
慝	慝	thaq7	
拓	拓	thaq7	拓碑
突	突	thaq7	僅限眼珠凸出一義
搭	搭	thaq7	又音
脦	脦	thaq7	
侻	侻	thaq7	
宊	宊	thaq7	
魼	魼	thaq7	
貣	貣	thaq7	
佮	佮	thaq7	
挩	捝	thaq7	
莌	莌	thaq7	
踏	踏	daq8	
達	达	daq8	
鐽	𫟼	daq8	化學元素
躂	跶	daq8	
澾	㳠	daq8	
韃	鞑	daq8	
薘	荙	daq8	
噠	哒	daq8	化學用字
墶	垯	daq8	
涾	涾	daq8	涾涾渧
𤒻	𪹹	daq8	腐𤒻𤒻
躢	躢	daq8	
闒	阘	daq8	
眔	眔	daq8	
誻	誻	daq8	
蹹	蹹	daq8	
龖	𱍂	daq8	
龘	𮹝	daq8	
凸	凸	daq8	
奪	夺	daq8	
突	突	daq8	
特	特	daq8	
沓	沓	daq8	量詞
𧌏	𧌏	daq8	
䂿	䂿	daq8	
螣	螣	daq8	
腯	腯	daq8	
遝	遝	daq8	
鴏	鴏	daq8	
敓	敚	daq8	
敚	敚	daq8	
痥	痥	daq8	
鮵	𫚛	daq8	
堗	堗	daq8	
揬	揬	daq8	
葖	葖	daq8	
鈯	𨱄	daq8	
鍎	鍎	daq8	
鶟	鶟	daq8	
鼵	鼵	daq8	
陀	陀	daq8	僅限於「搣陀螺」
棏	棏	daq8	
樴	樴	daq8	
貣	貣	daq8	
譶	譶	daq8	
挩	捝	daq8	
莌	莌	daq8	
倷	倷	naq8	
捺	捺	naq8	
𤷈	𤷈	naq8	
䖧	䖧	naq8	
笝	笝	naq8	
蒳	蒳	naq8	
軜	𫐇	naq8	
哪	哪	naq8	
辣	辣	naq8	又音 僅限於「煞辣」
痆	痆	naq8	
吶	呐	naq8	
呐	呐	naq8	
鈉	钠	naq8	化學元素
納	纳	naq8	
衲	衲	naq8	
訥	讷	naq8	
抐	抐	naq8	
㨥	㨥	naq8	
肭	肭	naq8	
魶	魶	naq8	
妠	妠	naq8	
垃	垃	laq8	文讀
拉	拉	laq8	
啦	啦	laq8	
辣	辣	laq8	
辢	辣	laq8	
蠟	蜡	laq8	
蝋	蜡	laq8	
臘	腊	laq8	
臈	腊	laq8	
剌	剌	laq8	不剌
喇	喇	laq8	
瘌	瘌	laq8	
蝲	蝲	laq8	
劣	劣	laq8	白讀
獵	猎	laq8	
猟	猎	laq8	
鑞	镴	laq8	
𨭛	𨭛	laq8	同「鑞」
邋	邋	laq8	
擸	擸	laq8	
爉	爉	laq8	
揧	揧	laq8	
楋	楋	laq8	
鬎	鬎	laq8	
玏	玏	laq8	
阞	阞	laq8	
磖	磖	laq8	
菈	菈	laq8	
砳	砳	laq8	
𦪴	𦪴	laq8	𦪴子
攔	拦	laq8	白讀
搚	搚	laq8	
勒	勒	laq8	
了	了	laq8	
嘞	嘞	laq8	
鰳	鳓	laq8	
肋	肋	laq8	
仂	仂	laq8	
扐	扐	laq8	
艻	艻	laq8	
竻	竻	laq8	
氻	氻	laq8	
泐	泐	laq8	
叻	叻	laq8	
捋	捋	laq8	
埒	埒	laq8	
𩛝	𩛝	laq8	
䮑	䮑	laq8	
蛶	蛶	laq8	
䟹	䟹	laq8	
硉	硉	laq8	
啦	啦	lhaq7	
扎	扎	tsaq7	
紮	扎	tsaq7	
紥	扎	tsaq7	
𡇠	𡇠	tsaq7	
札	札	tsaq7	
剳	札	tsaq7	
劄	札	tsaq7	
箚	札	tsaq7	
𧉹	𧉹	tsaq7	䗫𧉹
摘	摘	tsaq7	
謫	谪	tsaq7	
讁	谪	tsaq7	
𪐏	𪐏	tsaq7	
窄	窄	tsaq7	
匝	匝	tsaq7	
帀	匝	tsaq7	
咂	咂	tsaq7	
砸	砸	tsaq7	
鉔	𫓬	tsaq7	
責	责	tsaq7	
嘖	啧	tsaq7	
幘	帻	tsaq7	
磧	碛	tsaq7	
簀	箦	tsaq7	
賾	赜	tsaq7	
拶	拶	tsaq7	
隻	只	tsaq7	量词
眨	眨	tsaq7	
𠰏	𠰏	tsaq7	
茁	茁	tsaq7	
舴	舴	tsaq7	
哳	哳	tsaq7	
沞	沞	tsaq7	
迊	迊	tsaq7	
魳	魳	tsaq7	
謮	謮	tsaq7	
偛	偛	tsaq7	
蚻	蚻	tsaq7	
䰖	䰖	tsaq7	
笮	笮	tsaq7	
諎	諎	tsaq7	
迮	迮	tsaq7	
嫧	嫧	tsaq7	
乇	乇	tsaq7	
馲	馲	tsaq7	
眣	眣	tsaq7	
棏	棏	tsaq7	
矺	矺	tsaq7	
則	则	tsaq7	
側	侧	tsaq7	
鍘	铡	tsaq7	又音
𢯩	𢯩	tsaq7	
稄	稄	tsaq7	
濈	濈	tsaq7	
蕺	蕺	tsaq7	
擳	擳	tsaq7	
瀄	瀄	tsaq7	
繓	𦈛	tsaq7	
稡	稡	tsaq7	
杔	杔	tsaq7	
虴	虴	tsaq7	
厇	厇	tsaq7	
夨	夨	tsaq7	
仄	仄	tsaq7	
昃	昃	tsaq7	
卒	卒	tsaq7	
漬	渍	tsaq7	僅限於「溼漬漬」
噆	噆	tsaq7	
萴	荝	tsaq7	
霵	霵	tsaq7	
楖	楖	tsaq7	
叉	叉	tshaq7	僅限於「叉燒」一詞
尺	尺	tshaq7	
呎	呎	tshaq7	
冊	册	tshaq7	
册	册	tshaq7	
笧	笧	tshaq7	
赤	赤	tshaq7	赤豆
哧	哧	tshaq7	
漆	漆	tshaq7	漆黑
斥	斥	tshaq7	
㿭	㿭	tshaq7	皴㿭
拆	拆	tshaq7	
坼	坼	tshaq7	
察	察	tshaq7	
詧	察	tshaq7	
擦	擦	tshaq7	
檫	檫	tshaq7	
䃰	䃰	tshaq7	
嚓	嚓	tshaq7	
礤	礤	tshaq7	
臿	臿	tshaq7	
插	插	tshaq7	
揷	插	tshaq7	
挿	插	tshaq7	
𨔨	𨔨	tshaq7	形容走路輕快的樣子
歃	歃	tshaq7	
喢	喢	tshaq7	
鍤	锸	tshaq7	
𡍪	𡍪	tshaq7	
嫧	嫧	tshaq7	
拺	拺	tshaq7	
蕞	蕞	tshaq7	
珿	珿	tshaq7	珿齊
促	促	tshaq7	又音
囃	𠱞	tshaq7	
憡	憡	tshaq7	
皟	𤾀	tshaq7	
疀	疀	tshaq7	
鑔	镲	tshaq7	
測	测	tshaq7	
側	侧	tshaq7	側面
惻	恻	tshaq7	
𡍫	𡍫	tshaq7	
撮	撮	tshaq7	
猝	猝	tshaq7	
策	策	tshaq7	
鏼	鏼	tshaq7	
畟	畟	tshaq7	
墄	墄	tshaq7	
遪	遪	tshaq7	
襊	襊	tshaq7	
鸅	鸅	dzaq8	
宅	宅	dzaq8	
䵵	䵵	dzaq8	
㔍	㔍	dzaq8	
蠌	蠌	dzaq8	
囐	囐	dzaq8	
翟	翟	dzaq8	姓
濯	濯	dzaq8	在清水裏搓洗
𦑱	𦑱	dzaq8	
捽	捽	dzaq8	用力拉；用力使折斷
㳐	㳐	dzaq8	
檡	檡	dzaq8	
襗	𫋷	dzaq8	
㩵	擜	dzaq8	
囋	囋	dzaq8	
巀	巀	dzaq8	
岝	岝	dzaq8	
耫	耫	dzaq8	
葃	葃	dzaq8	
鰿	鰿	dzaq8	
澤	泽	dzaq8	
沢	泽	dzaq8	
擇	择	dzaq8	
雜	杂	dzaq8	文讀
雑	杂	dzaq8	文讀
襍	杂	dzaq8	文讀
枠	枠	dzaq8	日語漢字，音同「雜」
崱	崱	dzaq8	
溭	溭	dzaq8	
崪	崪	dzaq8	
椊	椊	dzaq8	
崒	崒	dzaq8	
踤	踤	dzaq8	
萴	荝	dzaq8	
霵	霵	dzaq8	
柮	柮	dzaq8	
殺	杀	saq7	
剎	刹	saq7	
刹	刹	saq7	
脎	脎	saq7	化學用字
摋	𢫬	saq7	
鎩	铩	saq7	
薩	萨	saq7	
煞	煞	saq7	
柵	栅	saq7	
栅	栅	saq7	
霎	霎	saq7	
撒	撒	saq7	
𫬒	𫬒	saq7	
𥈊	𥈊	saq7	「眨」本字當作「𥈊」
眨	眨	saq7	「眨」本字當作「𥈊」
睫	睫	saq7	
萐	萐	saq7	
躠	躠	saq7	
帹	帹	saq7	
翣	翣	saq7	
擌	擌	saq7	
栜	栜	saq7	
拺	拺	saq7	
摵	摵	saq7	
溹	溹	saq7	
帴	帴	saq7	
榝	榝	saq7	
蔱	蔱	saq7	
澀	涩	saq7	
渋	涩	saq7	
濇	涩	saq7	
澁	涩	saq7	
嗇	啬	saq7	
穡	穑	saq7	
𩍙	𩍙	saq7	
薔	蔷	saq7	
帥	帅	saq7	
色	色	saq7	
銫	铯	saq7	化學元素
塞	塞	saq7	
噻	噻	saq7	化學用字
率	率	saq7	
蟀	蟀	saq7	
摔	摔	saq7	
𥡢	𥡢	saq7	
瑟	瑟	saq7	
虱	虱	saq7	
蝨	虱	saq7	
窣	窣	saq7	
琗	琗	saq7	
颯	飒	saq7	
卅	卅	saq7	
釋	释	saq7	雪釋掉
釈	释	saq7	雪釋掉
濕	湿	saq7	衣裳濕濕其
溼	湿	saq7	衣裳濕濕其
圾	圾	saq7	文讀
趿	趿	saq7	
馺	馺	saq7	
懎	𢠁	saq7	
繬	𫄱	saq7	
轖	轖	saq7	
歰	歰	saq7	
雭	雭	saq7	
璱	璱	saq7	
飋	𫗋	saq7	
鯴	鲺	saq7	
咰	咰	saq7	
碎	碎	saq7	又音 僅限於「碎食」
砕	碎	saq7	又音 僅限於「碎食」
靸	靸	saq7	
鈒	钑	saq7	
霅	霅	saq7	
翜	翜	saq7	
箑	箑	saq7	
石	石	zaq8	
乭	乭	zaq8	
閘	闸	zaq8	
牐	闸	zaq8	
煠	煠	zaq8	烹飪方式，將食物放在水中煮
炸	炸	zaq8	烹飪方式，將食物放在油中煮
𧾁	𧾁	zaq8	
𧼰	𧼰	zaq8	𧼰時
鍘	铡	zaq8	
䥷	铡	zaq8	
賊	贼	zaq8	
鰂	鲗	zaq8	
鱡	鱡	zaq8	
𨆎	𨆎	zaq8	
蠈	蠈	zaq8	
雜	杂	zaq8	白讀
雑	杂	zaq8	白讀
襍	杂	zaq8	白讀
磼	磼	zaq8	
雥	雥	zaq8	
韴	韴	zaq8	
夾	夹	kaq7	
裌	夹	kaq7	
袷	夹	kaq7	
頰	颊	kaq7	
鬲	鬲	kaq7	
隔	隔	kaq7	
𥴩	𥴩	kaq7	
膈	膈	kaq7	
槅	槅	kaq7	槅子
嗝	嗝	kaq7	
塥	塥	kaq7	塥泥
鎘	镉	kaq7	化學元素
翮	翮	kaq7	
䛿	䛿	kaq7	
㾸	㾸	kaq7	㾸𤶁
甲	甲	kaq7	白讀
胛	胛	kaq7	
格	格	kaq7	
袼	袼	kaq7	
𪄎	𪄎	kaq7	
鵊	𫛥	kaq7	
圿	圿	kaq7	
忦	忦	kaq7	
鞂	鞂	kaq7	
鴶	鴶	kaq7	
介	介	kaq7	促化
溢	溢	kaq7	溢出
礊	礊	kaq7	
挌	挌	kaq7	
鵅	鵅	kaq7	
擖	擖	kaq7	
猰	猰	kaq7	
諽	諽	kaq7	
革	革	kaq7	
緙	缂	kaq7	
𢯹	𢯹	kaq7	
愅	愅	kaq7	
㗆	㗆	kaq7	
割	割	kaq7	
合	合	kaq7	僅限於「合算」
咯	咯	kaq7	咯咯笑
蛤	蛤	kaq7	
䀫	䀫	kaq7	因困倦或生眼病感覺不適而眨動眼睛
骼	骼	kaq7	
鴿	鸽	kaq7	
胳	胳	kaq7	
硌	硌	kaq7	
葛	葛	kaq7	
轕	轕	kaq7	
噶	噶	kaq7	
蓋	盖	kaq7	姓
疙	疙	kaq7	
仡	仡	kaq7	
虼	虼	kaq7	
吃	吃	kaq7	僅限於「吃舌頭」
輵	輵	kaq7	
茖	茖	kaq7	
蛒	蛒	kaq7	
觡	觡	kaq7	
搹	搹	kaq7	
裓	裓	kaq7	
鮯	𫚗	kaq7	
獦	獦	kaq7	
孂	孂	kaq7	
佮	佮	kaq7	
匌	匌	kaq7	
鞈	鞈	kaq7	
韐	韐	kaq7	
客	客	khaq7	
喀	喀	khaq7	
揢	揢	khaq7	量詞，拇指和食指合成的圈兒的大小
碦	碦	khaq7	
磕	磕	khaq7	
瞌	瞌	khaq7	
搕	搕	khaq7	
溘	溘	khaq7	
嗑	嗑	khaq7	
榼	榼	khaq7	
掐	掐	khaq7	
甲	甲	khaq7	僅限於「指甲」
胛	胛	khaq7	僅限於「挑肩胛」
曱	曱	khaq7	
骹	骹	khaq7	
磍	磍	khaq7	
趏	趏	khaq7	
礊	礊	khaq7	
罊	罊	khaq7	
諽	諽	khaq7	
克	克	khaq7	
剋	克	khaq7	剋落
尅	克	khaq7	剋落
勀	勀	khaq7	
勊	勊	khaq7	
氪	氪	khaq7	化學元素
娔	娔	khaq7	
刻	刻	khaq7	
咳	咳	khaq7	
渴	渴	khaq7	
渇	渴	khaq7	
嵑	嵑	khaq7	
峇	峇	khaq7	
𦊪	𦊪	khaq7	
可	可	khaq7	可汗
匌	匌	khaq7	
歁	歁	khaq7	
軋	轧	gaq8	
釓	钆	gaq8	化學元素
搿	搿	gaq8	
䦪	䦪	gaq8	
𪆰	𪆰	gaq8	
扤	扤	ngaq8	又音 僅限於「扤頭」等
額	额	ngaq8	
頟	额	ngaq8	
峉	峉	ngaq8	
枿	枿	ngaq8	
歺	歺	ngaq8	
