繁體	简体	吳拼	備注
耀	耀	yau6	
鷂	鹞	yau6	~子：風箏
校	校	yau6	學~
召	召	yau6	
巴	巴	po1	
芭	芭	po1	
笆	笆	po1	
𧈢	𧈢	po1	海蛤~：蛤蜊
拿	拿	no1	
渣	渣	tso1	
遮	遮	tso1	
車	车	tsho1	
叉	叉	tsho1	
杈	杈	tsho1	
鯧	鲳	tsho1	~魚
沙	沙	so1	
紗	纱	so1	
奢	奢	so1	
賒	赊	so1	~賬，欠賬
蓑	蓑	so1	~衣，棕絲編成的雨衣
痧	痧	so1	發~：中暑
鯊	鲨	so1	~魚
砂	砂	so1	
家	家	ko1	人~
加	加	ko1	
傢	傢	ko1	
瓜	瓜	ko1	
嘉	嘉	ko1	
䯊	䯊	kho1	腳~頭：膝蓋
呵	呵	ho1	
蝦	虾	ho1	~米
鴉	鸦	o1	
丫	丫	o1	
椏	桠	o1	樹~杈：樹杈
爬	爬	bo2	
琶	琶	bo2	
杷	杷	bo2	
薄	薄	bo2	~荷
巴	巴	bo2	下~
麻	麻	mo2	
痳	痳	mo2	
蟆	蟆	mo2	蝦~
嬤	嬷	mo2	
挪	挪	no2	~動
查	查	dzo2	
茶	茶	dzo2	
搽	搽	dzo2	
蛇	蛇	dzo2	
牙	牙	ngo2	
芽	芽	ngo2	
瓦	瓦	ngo2	
蚜	蚜	ngo2	
衙	衙	ngo2	
嗬	嗬	gho2	
嚄	嚄	gho2	
把	把	po3	
朵	朵	to3	
躲	躲	to3	
拖	拖	tho3	~面
扯	扯	tsho3	~布：①買布②撕布
舍	舍	so3	
所	所	so3	
啥	啥	so3	爲~：爲什麼
假	假	ko3	真~
戈	戈	ko3	
蝦	虾	ho3	魚~
啞	哑	o3	~子：啞巴
馬	马	mo4	
碼	码	mo4	
社	社	dzo4	
惹	惹	zo4	~是非
伢	伢	ngo4	我
下	下	gho4	底~
夏	夏	gho4	姓
廈	厦	gho4	~門
欛	欛	po5	①把手②錯處掌握在人手中
霸	霸	po5	
壩	壩	po5	堤~
疤	疤	po5	傷~
怕	怕	pho5	
嬤	嬷	mo5	~~：伯母
詐	诈	tso5	
榨	榨	tso5	
炸	炸	tso5	
蔗	蔗	tso5	
蚱	蚱	tso5	~𧐖：知了
鮓	鲊	tso5	~魚
岔	岔	tsho5	
瘥	瘥	tsho5	病~眼：病好點了
赦	赦	so5	
舍	舍	so5	
騇	騇	so5	
啥	啥	so5	~西：什麼東西
廈	廈	so5	前廊後~
駕	驾	ko5	
架	架	ko5	
嫁	嫁	ko5	
價	价	ko5	
掛	挂	ko5	
褂	褂	ko5	
揢	揢	kho5	抓，捕：~人，抓人
跨	跨	kho5	
煆	煆	ho5	食物再蒸：~一~：熟的食物略蒸一下
掗	挜	o5	強予人物：~把儂（硬要給你）
耙	耙	bo6	
䶕	䶕	bo6	~牙
稗	稗	bo6	~草
罵	骂	mo6	
乍	乍	dzo6	
麝	麝	zo6	~香
射	射	zo6	眼睛~過來：目光銳利地看
砑	砑	ngo6	~平：用重得圓體器具壓平
夏	夏	gho6	
下	下	gho6	~面
丟	丢	tieu1	
舟	舟	cieu1	
周	周	cieu1	
州	州	cieu1	
洲	洲	cieu1	
鳩	鸠	cieu1	
鬮	阄	cieu1	
糾	纠	cieu1	
揪	揪	cieu1	~牢：扭住
𩭓	𩭓	cieu1	
秋	秋	chieu1	
抽	抽	chieu1	
丘	丘	chieu1	
揪	揪	chieu1	
𥫷	𥫷	chieu1	篾~：箍桶匠用的篾束
𥻤	𥻤	chieu1	把水吸乾
修	修	shieu1	
羞	羞	shieu1	
收	收	shieu1	
休	休	shieu1	
憂	忧	ieu1	
優	优	ieu1	
悠	悠	ieu1	
又	又	ieu1	
幽	幽	ieu1	
攸	攸	ieu1	
流	流	lieu2	
劉	刘	lieu2	
留	留	lieu2	
榴	榴	lieu2	
硫	硫	lieu2	
琉	琉	lieu2	
塯	塯	lieu2	泥~：被海水浸過並曬得半乾的灘泥，是製鹽的一道工序
囚	囚	jieu2	
泅	泅	jieu2	
綢	绸	jieu2	
稠	稠	jieu2	
籌	筹	jieu2	
紂	纣	jieu2	
宙	宙	jieu2	
仇	仇	jieu2	
讎	仇	jieu2	
求	求	jieu2	
球	球	jieu2	
牛	牛	gnieu2	
尤	尤	yeu2	
郵	邮	yeu2	
油	油	yeu2	
由	由	yeu2	
游	游	yeu2	
猶	犹	yeu2	
遊	遊	yeu2	
魷	鱿	yeu2	~魚
酒	酒	cieu3	
帚	帚	cieu3	
九	九	cieu3	
久	久	cieu3	
韭	韭	cieu3	
灸	灸	cieu3	
糾	纠	cieu3	~正
丑	丑	chieu3	
醜	醜	chieu3	
手	手	shieu3	
首	首	shieu3	
守	守	shieu3	
朽	朽	shieu3	
柳	柳	lieu4	
溜	溜	lieu4	鞋~：鞋拔兒
舅	舅	jieu4	
臼	臼	jieu4	
咎	咎	jieu4	
紐	纽	gnieu4	
扭	扭	gnieu4	
受	受	zhieu4	
有	有	yeu4	
友	友	yeu4	
酉	酉	yeu4	
誘	诱	yeu4	
受	受	yeu4	
晝	昼	cieu5	
咒	咒	cieu5	
救	救	cieu5	
究	究	cieu5	
臭	臭	chieu5	
秀	秀	shieu5	
綉	绣	shieu5	
繡	绣	shieu5	
銹	锈	shieu5	
鏽	锈	shieu5	
獸	兽	shieu5	
嗅	嗅	shieu5	
㾋	㾋	shieu5	皮膚上的小疙瘩
幼	幼	ieu5	
溜	溜	lieu6	
餾	馏	lieu6	
就	就	jieu6	
舊	旧	jieu6	
柩	柩	jieu6	靈~：棺材
售	售	jieu6	
袖	袖	zhieu6	
就	就	zhieu6	
壽	寿	zhieu6	
授	授	zhieu6	
袖	袖	yeu6	
右	右	yeu6	
祐	祐	yeu6	
柚	柚	yeu6	
釉	釉	yeu6	
授	授	yeu6	
壽	寿	yeu6	
花	花	huo1	
蛙	蛙	uo1	
划	划	uo1	~船
漥	漥	uo1	
華	华	wo2	中華
鏵	铧	wo2	
化	化	huo5	
華	华	wo6	~山
樺	桦	wo6	
畫	画	wo6	
話	话	wo6	
班	班	pae1	
斑	斑	pae1	
頒	颁	pae1	
扳	扳	pae1	
般	般	pae1	
扳	扳	pae1	搖槳時把槳往自己身邊拉：~槳
攀	攀	phae1	
藩	藩	fae1	
翻	翻	fae1	
番	番	fae1	
耽	耽	tae1	
擔	担	tae1	
膽	胆	tae1	
丹	丹	tae1	
單	单	tae1	
撣	掸	tae1	~灰塵
耽	耽	tae1	安~：安逸
坍	坍	thae1	
毯	毯	thae1	
灘	滩	thae1	
癱	瘫	thae1	
攤	摊	thae1	
劗	劗	tsae1	切、剁：~肉
㜺	㜺	tsae1	美、好：該衣裳式樣蠻~。（這衣服式樣很美）
讚	讚	tsae1	褒揚：其做勒蠻~。（他做得很好）
參	参	tshae1	
攙	搀	tshae1	
餐	餐	tshae1	
摻	掺	tshae1	~水
三	三	sae1	
杉	杉	sae1	
衫	衫	sae1	
珊	珊	sae1	
山	山	sae1	
刪	删	sae1	
舢	舢	sae1	~舨：小船名
奸	奸	kae1	
尷	尴	kae1	
墈	墈	khae1	
龕	龛	khae1	
嵌	嵌	khae1	
刊	刊	khae1	
艦	舰	khae1	
鉛	铅	khae1	
𨂝	𨂝	bae2	跨：過起（跨過去）
爿	爿	bae2	量詞：一~店
瓪	瓪	bae2	瓦~：碎瓦
蠻	蛮	mae2	野~
晚	晚	mae2	夜到~頭：晚上。~娘：後母
埋	埋	mae2	~沒
凡	凡	vae2	
帆	帆	vae2	
煩	烦	vae2	
礬	矾	vae2	
繁	繁	vae2	
譚	谭	dae2	
潭	潭	dae2	
燂	燂	dae2	文火燒：~茶
談	谈	dae2	
檀	檀	dae2	
壇	坛	dae2	
彈	弹	dae2	
誕	诞	dae2	
鱏	鱏	dae2	~胡，名魚
鱣	鳣	dae2	~魚
難	难	nae2	困~
藍	蓝	lae2	
籃	篮	lae2	
蘭	兰	lae2	
攔	拦	lae2	
欄	栏	lae2	
幱	幱	lae2	布~：圍裙
纜	缆	lae2	繩索：~頭。系船用的粗繩
慚	惭	dzae2	
讒	谗	dzae2	
饞	馋	dzae2	
殘	残	dzae2	
巖	岩	ngae2	
顏	颜	ngae2	
癌	癌	ngae2	
鹹	咸	ghae2	
咸	咸	ghae2	
閒	闲	ghae2	
閑	闲	ghae2	
限	限	ghae2	~年：過去幾年
板	板	pae3	
版	版	pae3	
舨	舨	pae3	舢舨，小船名
畈	畈	pae3	
反	反	fae3	
翻	翻	fae3	
撣	掸	tae3	
疸	疸	tae3	
坦	坦	thae3	
斬	斩	tsae3	
盞	盏	tsae3	
慘	惨	tshae3	
產	产	tshae4	
鏟	铲	tshae3	
散	散	sae3	~開
減	减	kae3	
鹼	碱	kae3	
襉	裥	kae3	裙子或衣服上的褶：百~裙
襇	裥	kae3	裙子或衣服上的褶：百~裙
坎	坎	khae3	
砍	砍	khae3	
檻	槛	khae3	門~
喊	喊	hae3	叫~
鴨	鸭	ae3	小~，小~兒
貓	猫	mae3	
霧	雾	mae3	漁民說法。~上來唻（霧起來了）
範	范	vae4	
范	范	vae4	
犯	犯	vae4	
晚	晚	vae4	
淡	淡	dae4	
覽	览	lae4	
懶	懒	lae4	
攬	揽	lae4	
欖	榄	lae4	
踐	践	dzae4	實~
眼	眼	ngae4	~睛。一~~：一點點
扮	扮	pae5	
𢲔	𢲔	pae5	被擋住的東西絆倒：~了一跤
盼	盼	phae5	
襻	襻	phae5	紐~
蠻	蛮	mae5	~好，很好
泛	泛	fae5	
販	贩	fae5	
㽹	㽹	fae5	欲tu
𨠒	𨠒	fae5	變顏色：~紅（藍色衣服穿舊而變得發紅）
擔	担	tae5	挑~
旦	旦	tae5	
炭	炭	thae5	
嘆	叹	thae5	
奶	奶	nae5	吃~~：吃奶
蘸	蘸	tsae5	
贊	赞	tsae5	
灒	灒	tsae5	濺
撍	撍	tsae5	兩手簸動盛器，使裏面的東西拌勻
燦	灿	tshae5	
散	散	sae5	分~
傘	伞	sae5	
疝	疝	sae5	~氣
監	监	kae5	
間	间	kae5	
莧	苋	hae5	~菜
晏	晏	ae5	來~唻：來晚了
辦	办	bae6	
瓣	瓣	bae6	
慢	慢	mae6	
蔓	蔓	mae6	
萬	万	mae6	一~：麻將牌中的一萬
飯	饭	vae6	
萬	万	vae6	
蛋	蛋	dae6	雞~，扯~（吹牛）
難	难	nae6	落~
廿	廿	nae6	二十
濫	滥	lae6	
暫	暂	dzae6	
賺	赚	dzae6	
站	站	dzae6	
綻	绽	dzae6	
棧	栈	dzae6	
鑱	鑱	zae6	掘進：~了一個洞
岸	岸	ngae6	
礙	碍	ngae6	
艾	艾	ngae6	
陷	陷	ghae6	
餡	馅	ghae6	
憾	憾	ghae6	
茄	茄	jiae2	
驗	验	gniae6	
念	念	gniae6	
廿	廿	gniae6	二十
捻	捻	gniae6	
唸	唸	gniae6	
