繁體	简体	吳拼	備注
故	故	ku5	
固	固	ku5	
錮	锢	ku5	
僱	雇	ku5	
顧	顾	ku5	
箍	箍	khu1	文讀
枯	枯	khu1	
苦	苦	khu3	
庫	库	khu5	
褲	裤	khu5	
跍	跍	gu2	蹲
咕	咕	gu6	嘮叨、責備
烏	乌	u1	
污	污	u1	
巫	巫	u1	
誣	诬	u1	
塢	坞	u5	
焐	焐	u5	
居	居	ciu1	
車	车	ciu1	車馬炮
鋸	锯	ciu1	文讀
拘	拘	ciu1	
駒	驹	ciu1	
句	句	ciu1	
龜	龟	ciu1	白讀
捐	捐	ciu1	
矩	矩	ciu3	規矩
鬼	鬼	ciu3	白讀
卷	卷	ciu3	
據	据	ciu5	
貴	贵	ciu5	白讀
眷	眷	ciu5	
絹	绢	ciu5	
蛆	蛆	chiu1	
區	区	chiu1	區域
驅	驱	chiu1	
圈	圈	chiu1	圓圈
犬	犬	chiu3	
勸	劝	chiu5	
券	券	chiu5	
渠	渠	jiu2	
俱	俱	jiu2	
瞿	瞿	jiu2	
拳	拳	jiu2	
權	权	jiu2	
顴	颧	jiu2	
巨	巨	jiu6	
拒	拒	jiu6	
距	距	jiu6	
具	具	jiu6	
懼	惧	jiu6	
跪	跪	jiu6	白讀
櫃	柜	jiu6	白讀
倦	倦	jiu6	
愚	愚	gniu2	
虞	虞	gniu2	
娛	娱	gniu2	又音
緣	缘	gniu2	又音
元	元	gniu2	
原	原	gniu2	
源	源	gniu2	
女	女	gniu6	
語	语	gniu6	
遇	遇	gniu6	
寓	寓	gniu6	
蕊	蕊	gniu6	白讀
軟	软	gniu6	
阮	阮	gniu6	
願	愿	gniu6	
愿	愿	gniu6	
靴	靴	shiu1	
墟	墟	shiu1	
虛	虚	shiu1	
噓	嘘	shiu1	
吁	吁	shiu1	
喧	喧	shiu1	
諠	喧	shiu1	
許	许	shiu3	文讀
絮	絮	shiu5	
楦	楦	shiu5	鞋楦
漁	渔	yu2	
於	於	yu2	
餘	余	yu2	
餘	馀	yu2	
于	于	yu2	
盂	盂	yu2	
榆	榆	yu2	
逾	逾	yu2	
愉	愉	yu2	
圓	圆	yu2	
員	员	yu2	
緣	缘	yu2	
袁	袁	yu2	
轅	辕	yu2	
園	园	yu2	
援	援	yu2	
御	御	yu6	
禦	禦	yu6	
與	与	yu6	
譽	誉	yu6	
預	预	yu6	
豫	豫	yu6	
雨	雨	yu6	
宇	宇	yu6	
禹	禹	yu6	
羽	羽	yu6	
芋	芋	yu6	
愈	愈	yu6	
喻	喻	yu6	
裕	裕	yu6	
院	院	yu6	
遠	远	yu6	
玄	玄	yu6	
懸	悬	yu6	
縣	县	yu6	
眩	眩	yu6	
淤	淤	iu1	
迂	迂	iu1	
冤	冤	iu1	
淵	渊	iu1	
椅	椅	iu3	
喂	喂	iu5	白讀
怨	怨	iu5	
叭	叭	pa1	喇叭
擺	摆	pa3	
拜	拜	pa5	
派	派	pha5	
排	排	ba2	
簰	簰	ba2	筏
