繁體	简体	吳拼	備注
校	校	ciau5	文讀 ～對
超	超	chiau1	
俏	俏	chiau1	
敲	敲	chiau1	文讀
巧	巧	chiau3	
竅	窍	chiau5	
蹺	跷	chiau5	
翹	翘	chiau5	
喬	乔	jiau2	
僑	侨	jiau2	
橋	桥	jiau2	
蕎	荞	jiau2	
憔	憔	jiau2	
潮	潮	jiau2	
嘲	嘲	jiau2	
朝	朝	jiau2	～代
轎	轿	jiau6	
趙	赵	jiau6	
撬	撬	jiau6	
堯	尧	gniau2	
饒	饶	gniau2	
繞	绕	gniau6	
鳥	鸟	gniau6	文讀
銷	销	shiau1	
消	消	shiau1	
宵	宵	shiau1	
霄	霄	shiau1	
硝	硝	shiau1	
燒	烧	shiau1	
蕭	萧	shiau1	
簫	箫	shiau1	
肖	肖	shiau1	
嘯	啸	shiau1	
筱	筱	shiau1	
囂	嚣	shiau1	
瀟	潇	shiau1	
哨	哨	shiau1	
哮	哮	shiau1	文讀
𢳚	𫽐	shiau1	～蓋子
曉	晓	shiau3	
小	小	shiau3	
少	少	shiau3	
笑	笑	shiau5	
孝	孝	shiau5	文讀
韶	韶	zhiau2	
樵	樵	zhiau2	
召	召	zhiau6	
邵	邵	zhiau6	
紹	绍	zhiau6	
兆	兆	zhiau6	
擾	扰	zhiau6	
肇	肇	zhiau6	
搖	摇	yau2	
遙	遥	yau2	
謠	谣	yau2	
窯	窑	yau2	
窑	窑	yau2	
瑤	瑶	yau2	
耀	耀	yau2	
姚	姚	yau6	
餚	肴	yau6	
淆	淆	yau6	
鷂	鹞	yau6	
效	效	yau6	文讀
校	校	yau6	學～
妖	妖	iau1	
邀	邀	iau1	
腰	腰	iau1	
幺	幺	iau1	～二三
夭	夭	iau1	
舀	舀	iau3	
要	要	iau5	
杳	杳	iau5	
僥	侥	iau5	
吆	吆	iau5	～喝
瓜	瓜	kuo1	
寡	寡	kuo1	
剮	剐	kuo3	
掛	挂	kuo5	
褂	褂	kuo5	
卦	卦	kuo5	
誇	夸	khuo1	
誇	夸	khuo1	
胯	胯	khuo1	
垮	垮	khuo1	
訛	讹	nguo1	～詐
花	花	huo1	
化	化	huo5	
華	华	wo2	
畫	画	wo6	
話	话	wo6	
霞	霞	wo6	～浦漲
蛙	蛙	uo1	
划	划	uo1	～船
包	包	pau1	
胞	胞	pau1	
堡	堡	pau3	
飽	饱	pau3	
保	保	pau3	
寶	宝	pau3	
鴇	鸨	pau3	
褒	褒	pau3	
報	报	pau5	
豹	豹	pau5	
苞	苞	pau5	
葆	葆	pau5	
爆	爆	pau5	～裂
泡	泡	phau1	
拋	抛	phau1	
脬	脬	phau1	
炮	炮	phau5	
袍	袍	bau2	
跑	跑	bau2	
刨	刨	bau6	
褓	褓	bau6	
抱	抱	bau6	
鮑	鲍	bau6	姓
暴	暴	bau6	
庖	庖	bau6	
咆	咆	bau6	
爆	爆	bau6	～炸
毛	毛	mau2	
茅	茅	mau2	
貌	貌	mau2	
矛	矛	mau2	
貓	猫	mau2	
卯	卯	mau6	
冒	冒	mau6	
帽	帽	mau6	
錨	锚	mau6	
莫	莫	mhau5	不要
刀	刀	tau1	
島	岛	tau1	
禱	祷	tau3	
搗	捣	tau3	
倒	倒	tau3	～塌
到	到	tau5	
倒	倒	tau5	～立
滔	滔	thau1	
韜	韬	thau1	
討	讨	thau3	
套	套	thau5	
叨	叨	thau5	～光
桃	桃	dau2	
逃	逃	dau2	
淘	淘	dau2	
陶	陶	dau2	
萄	萄	dau2	
濤	涛	dau2	
道	道	dau6	
稻	稻	dau6	
蹈	蹈	dau6	
盜	盗	dau6	
導	导	dau6	
悼	悼	dau6	
腦	脑	nau6	
惱	恼	nau6	
